Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
Quality Management System,University Hospitals Birmingham NHS Foundation Trust,"BSOL Procurement Collaborative (BSOLPC), part of University Hospitals Birmingham NHS Foundation Trust (""UHB"") and on behalf Birmingham Women's and Children's NHS Foundation Trust is issuing this invitation to tender in connection with the competitive procurement of a Quality Management System (QMS) on behalf of University Hospitals ...",Opportunity,Open,Not Available,"12 December 2022,  1pm",West Midlands,0,Not Available,10 November 2022,Not Available
Adaptations - Bathroom adaptations,London Borough of Haringey,BATHROOM ADAPTATION WORKS This opportunity has been distributed on adamprocure.co.uk,Opportunity,Open,Not Available,"17 November 2022,  3pm",United Kingdom,102747.64,Not Available,10 November 2022,Not Available
ERCH TRAINING ROOM,HUMBER TEACHING NHS FOUNDATION TRUST,"The tender is to redevelop the existing Café at East Riding Community Hospital in Beverley to create a new training room; all as detailed within the Tender Documents.

How to Express Interest in this Tender: 

1. Register your company on the eSourcing portal (this is only required once) - Browse to the eSourcing Portal: https://in- ...",Opportunity,Open,Not Available,"8 December 2022, 12pm",Yorkshire and the Humber,0,Not Available,10 November 2022,Not Available
Framework for the Procurement of Court Reporting and Transcription (CRT) Services,Ministry of Justice,"The Ministry of Justice (hereafter the Authority) intends to run a competition for the procurement of Court Reporting and Transcription Services (CRT) on behalf of HM Courts & Tribunals Service (HMCTS).

The Authority is legally required to record Court proceedings across England and Wales and where requested, produce official transcripts from ...",Opportunity,Open,Not Available,"12 December 2022, 11am",SW1H 9AJ,17903695,Not Available,10 November 2022,Not Available
GB-Middlesbrough: NZIIC Clerk of Works,Teesside University,NOTE: This notice was updated on 10 November 2022 for the following reason: suitbale for SME changed from no to yes(The Net Zero Industry Innovation Centre project is receiving up to £6.3m of funding from the England European Regional Development Fund as part of the European Structural and Investment Funds Growth Programme 2014-2020. The Ministry...,Opportunity,Open,Not Available,"5 December 2022, 10am",North East,50000,100000,10 November 2022,10 November 2022
INSPIRE GARDEN REDEVELOPMENT,HUMBER TEACHING NHS FOUNDATION TRUST,"The tender is to redevelop the gardens for Inspire at Hull to create a secure relaxing external space for patients with a segregated staff area; all as detailed within the Tender Documents.

How to Express Interest in this Tender: 

1. Register your company on the eSourcing portal (this is only required once) - Browse to the eSourcing Portal: ...",Opportunity,Open,Not Available,"8 December 2022, 12pm",Yorkshire and the Humber,0,Not Available,10 November 2022,Not Available
Uninterruptable Power Supply,General Medical Council (GMC),"The scope of the works is outlined in this Performance specification to install, test and commission the complete replacement UPS Installation within the existing -1 Car Park Level at 3 Hardman Square, Manchester, M3 3AW.",Opportunity,Open,Not Available,"24 November 2022, 12pm","Scotland, North West, Wales, Northern Ireland, London",0,70000,10 November 2022,Not Available
Apprenticeship Provider,Satellite Applications Catapult,"The Satellite Applications Catapult is seeking a suitable apprenticeship provider to support its learning and development agenda. We are looking to make the most of our apprenticeship levy, to work with a provider who can support us to develop our current staff and in time recruit new talent into the business. These apprentices could have further ...",Opportunity,Open,Not Available,"22 December 2022, 12pm",South East,0,Not Available,10 November 2022,Not Available
"The Green School Trust, Isleworth - Catering Tender (2 senior schools)",The Green School Trust,Supply of catering services to two senior schools:The Green School For GirlsThe Green School For Boys,Opportunity,Open,Not Available,"20 January 2023, 12pm",South East,0,Not Available,10 November 2022,Not Available
IA2907 Household Waste Recycling Centres (HWRCs) Welding and Fabrication Repairs,Staffordshire County Council,Staffordshire County Council (SCC) is a Waste Disposal Authority and provides fourteen (14) household waste recycling centres (HWRCs) for residents to recycle and dispose of their household waste and one (1) Waste Transfer Station which accepts waste from Staffordshire Moorlands District Council. Thirteen (13) of the HWRCs offer a trade waste ...,Opportunity,Open,Not Available,"15 December 2022, 12pm",ST16 2DH,360000,Not Available,10 November 2022,Not Available
Culture & leisure catering site concession contracts - 2023,Portsmouth City Council,"The Council is seeking to award five catering concessions contracts in Spring 2023, both mobile and kiosk units which can include hot and cold food and drink provision and/or the sale of ice-cream (unless otherwise stated).  
      
      Concessions would be expected to start on the first day of the license period as per the dates stated below. ...",Opportunity,Open,Not Available,"8 December 2022, 12pm",PO1 2AL,0,Not Available,10 November 2022,10 November 2022
UKRI-2539 Social baseline study for Carbon Storage Research Facility Project,UK Research & Innovation,"The requirement is for a social baseline study for Carbon Storage Research Facility (CSRF) project.
      
      In order to improve our understanding of public knowledge and attitudes to CO2 Capture and Storage (CCS), the British Geological Survey (BGS) wishes to acquire a national 'social baseline' that provides a snapshot of attitudes ...",Opportunity,Open,Not Available,"12 December 2022,  2pm",East Midlands,150000,Not Available,10 November 2022,Not Available
Conversion of ex-service bus to mobile classroom with ancillary trailer,East Riding of Yorkshire Council,Conversion of ex-service bus to mobile classroom with ancillary trailer,Opportunity,Open,Not Available,"25 November 2022, 12pm",Yorkshire and the Humber,0,Not Available,10 November 2022,Not Available
TSC for the for the Periodic Inspection of Water Systems,East Riding of Yorkshire Council,"The Periodic Inspection and Testing of Water Systems, in various occupied/unoccupied council
properties located within the geographical boundaries of the East Riding of Yorkshire.",Opportunity,Open,Not Available,"15 December 2022, 12pm",Yorkshire and the Humber,0,1800000,10 November 2022,Not Available
Simulation Devices and Services,NHS Supply Chain,NHS Supply Chain seeks to establish a non-exclusive Framework Agreement for supply to the NHS Supply Chain customer base for Simulation Devices and Services.,Opportunity,Open,Not Available,"16 December 2022,  3pm",Any region,120000000,Not Available,10 November 2022,Not Available
GB-Harwich: T0498 - Air Compressors for Harwich Buoy Yard,Trinity House,Trinity House have a requirement for the current compressors and associated equipment to be replaced within Harwich buoy yard,Opportunity,Open,Not Available,"2 December 2022, 12pm",Any region,50000,100000,10 November 2022,Not Available
Benchtop NMR spectrometer for teaching laboratories,The University of Warwick,"The University of Warwick has a requirement to purchase a benchtop NMR spectrometer that can support a range of experiments in our teaching laboratories and provide a simple introduction to hands-on NMR measurements (at least 1H and possibly other nuclei such as 13C, 31P and 19F) and interpretation of spectra to undergraduate and Masters' ...",Opportunity,Open,Not Available,"8 December 2022, 12pm",CV4 7AL,70000,100000,10 November 2022,Not Available
"Skills Scoping Study for the Animation, Post-Production, Video Games and Visual Effects Sectors",BFI,"Following the publication of the BFI Skills Review 2022 that focused on the scripted film and high-end television production sector, the BFI is currently seeking to commission a scoping study exploring skills needs for animation, post-production, VFX and video games and the emerging tech sectors ('APVV'). The study's outcome should ...",Opportunity,Open,Not Available,"30 November 2022, 10am",W1T 1LN,0.01,80000,10 November 2022,Not Available
Evaluation of NE's Nature Recovery Network Seedcorn Projects,Natural England,"1.A report that reviews the impact and learning from NE's recently completed, Nature Recovery Network Seedcorn projects.

2. Recommendations on how future Seedcorn projects could be monitored and evaluated in-house on an annual basis.",Opportunity,Open,Not Available,"5 December 2022, 12pm",England,20000,24999,10 November 2022,Not Available
Soft Market Testing Exercise for the Provision of a Ureteric Stent Prototype and Trial,UNIVERSITY OF SOUTHAMPTON,"This Soft Market Test Exercise (""Exercise"") is intended to allow interested organisations with appropriate experience to outline their views and provide impartial information to the University with no commitment to themselves or the University.  It is not part of a formal procurement process, nor shall the University be committed to carrying out ...",Early engagement,Open,Not Available,21 November 2022,SO17 1BJ,Not Available,Not Available,10 November 2022,10 November 2022
Crisis Cafes in West Sussex NHS/SOEPS/22.841 PINCC,South of England Procurement Centre,"This notice is to inform the market of the intention to directly award contracts to Richmond Fellowship and West Sussex MIND for the provision of a Crisis Cafe Service for NHS Sussex Integrated Care Board ('the ICB') as follows:

• Crawley Crisis Café (Richmond Fellowship):

Six months from 01/04/23 for a total value of £147,013 ...",Opportunity,Open,Not Available,"12 December 2022, 12pm",South East,359379,Not Available,10 November 2022,Not Available
CA11367 - Hartshill Academy (Part of The Midland Academies Trust) - Invitation to Tender for Supply & Fit of New Build Furniture,Hartshill School,"Hartshill Academy (Part of The Midland Academies Trust) - Invitation to Tender for Supply & Fit of New Build Furniture 1st August 2023 - 31st August 2023

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11367.

Not registered:
Visit https://suppliers.multiquote.com then register and ...",Opportunity,Open,Not Available,"12 December 2022, 10am",CV10 0NA,0,Not Available,10 November 2022,Not Available
Yorcivil3 Contractors Framework Agreement,.East Riding Of Yorkshire Council,"A Framework Agreement for Construction works to serve public bodies (and their statutory successors) and third sector organisation primarily in the Yorkshire and Humber region. The works involved are principally civil engineering works, bridges/structure works, highway surfacing works, flood alleviation works and Coastal works. In addition some ...",Opportunity,Open,Not Available,"20 January 2023, 12pm",Yorkshire and the Humber,0,800000000,10 November 2022,Not Available
Provision of a Design Brief & Management of a Design Competition,DLUHC,"The Department for Levelling Up, Housing and Communities is commissioning a contractor or contractors with relevant expertise to work with the independent Grenfell Tower Memorial Commission, to design and run an international competition to select an outline design for a Grenfell memorial.
The memorial will commemorate the tragedy of the Grenfell ...",Opportunity,Open,Not Available,"20 December 2022, 12pm",SW1P 4DF,100000,125000,10 November 2022,Not Available
"L22008-T-MC - Maintenance for auto doors, roller shutters and barriers",London Luton Airport,"This is for a 4-year contract (+ 1-year optional extension) for the service and maintenance of the automatic doors and barriers throughout the airport as detailed within the PT35 pricing schedule. The contract will allow for service, maintenance and an emergency call out service covering 6am till 6pm, 7 days a week 365 days per year on all ...",Opportunity,Open,Not Available,"16 December 2022, 12pm",LU2 9LY,200000,250000,8 November 2022,10 November 2022
Investigating normalisation of satellite imagery for mosaic creation,Natural England,"Expertise in remote sensing / earth observation essential. 

This project will investigate current best practices and potential impacts of image normalisation in the development of Spring and Autumn satellite mosaic creation used within the Living England workflow for segmentation and habitat classification. The current mosaicking process ...",Opportunity,Open,Not Available,"28 November 2022,  5:30pm",England,10000,24999,10 November 2022,Not Available
Café Catering Consultant - Older Persons Independent Living Concession Contract,Sheffield City Council,Café Catering Consultant - Older Persons Independent Living Concession Contract,Opportunity,Open,Not Available,"12 December 2022,  5pm",Yorkshire and the Humber,0,Not Available,10 November 2022,Not Available
"Maintenance, servicing and minor works associated with the gates, barriers and turnstiles, within the Thames Valley Police Estate",Thames Valley Police,"Requirement for Access Control Gates & Barriers to include but not limited to planned preventative and reactive maintenance, replacements and on all existing gates and barriers and new installations throughout the Authority's estate.",Opportunity,Open,Not Available,"23 December 2022,  2pm",South East,0,657619,10 November 2022,Not Available
Review of behavioural insights into pro-environmental behaviour,Natural England,Natural England's People and Nature Surveys (PANS) team provide nationally representative and freely available data on a range of topics around people's engagement with nature. Through this commission the PANS team aim to improve the insights provided by PANS about people's pro-environmental behaviours and the key predictors of these. The ...,Opportunity,Open,Not Available,"30 November 2022, 12pm",England,20000,Not Available,10 November 2022,10 November 2022
BP1004 - Consultation for CCTV Monitoring Services,Broxtowe Borough Council,Consultation for CCTV Monitoring Services. See attached documents.,Early engagement,Open,Not Available,18 November 2022,East Midlands,Not Available,Not Available,10 November 2022,Not Available
A young person's advisory panel for the Children's People and Nature Survey,Natural England,"Natural England's 'Children's People and Nature Survey' (C-PANS) provides information on how children and young people in England experience and think about the natural environment.  Through this commission the survey team aim to bring together a group of young people aged 8 to 15 years old, to act as advisors in the on-going use of and development...",Opportunity,Open,Not Available,"30 November 2022, 12pm",England,15000,Not Available,10 November 2022,10 November 2022
BHE MCZ Acoustic Survey LOT 4,Natural England,"Responses by email only:BHE MCZ was designated in 2019 under the MCAA (2009) and covers an area of 19,486.51 ha between Beachy Head lighthouse in the west and Haistings Pier in the east. The MCZ extends just beyond 6nm offshore. Since designation, it has been increasingly clear that, although evidence was sufficient to designate features within the...",Opportunity,Open,Not Available,"15 November 2022, 12pm",South East,1000,Not Available,28 October 2022,10 November 2022
GB-Bristol: Climbing Tower Concession - Beechenhurst,Forestry England (for and on behalf of the Forestry Commission),"Forestry England have an opportunity available for a Climbing Tower Concession at their Beechenhurst site in the Forest of Dean.
      
      The arrangement will be on a lease agreement for up to 8 years in total.
      
      Full details of the requirements can be found in the tender document provided.",Opportunity,Open,Not Available,"14 December 2022, 12pm",South West,500000,1000000,10 November 2022,Not Available
"Supply, Install, Refurbish and Removal of existing certified ECB (English Cricket Board) approved non-turf cricket wickets and associated facilities",Sandwell Metropolitan Borough Council,"Supply, Install, Refurbish and Removal of existing certified ECB (English Cricket Board) approved non-turf cricket wickets and associated facilities
      
      Sandwell MBC are inviting tenders for Supply, install, refurbish and removal of existing certified ECB approved cricket wickets, at the sites listed below. In addition, there is a ...",Opportunity,Open,Not Available,"23 November 2022,  3pm",B69 3DB,144000,Not Available,10 November 2022,10 November 2022
Community Micro Enterprise Development Services,Oxfordshire County Council,"The Council is looking for a Service Provider who will work with existing and potential community micro-enterprises interested in offering help at home to local people.  Community micro-enterprises are defined as sole traders or organisations employing 8 or fewer people providing community-based care and support services.

The targeted geographical...",Opportunity,Open,Not Available,"15 December 2022, 12pm",England,370000,Not Available,10 November 2022,Not Available
Installation of Bus Travel Information Boards with QR codes at bus stops in Norfolk,Norfolk County Council,"Norfolk County Council wishes to award a contract to a company to install and maintain Bus Travel Information Boards with individual QR codes at approximately 5000 bus stops over Norfolk.
      
      As part of its net-zero ambition it is a priority for the Council to reduce the number of single occupancy car journeys made across the county and ...",Opportunity,Open,Not Available,"30 November 2022,  1:56pm",NR1 2DH,0,Not Available,10 November 2022,10 November 2022
Honister Close Decent Neighbourhoods Project,SOUTHAMPTON CITY COUNCIL,"We would like to procure a contractor to carry out works to build a new car park on a grassed area of Housing owned land between the two blocks of flats at Honister Close. The aim is to provide much needed parking for our residents and prevent the current issues with people parking on grassed verges.
      
      Planning reference: 21/00758/R3CFL...",Opportunity,Open,Not Available,"7 December 2022, 12pm",South East,175000,199000,10 November 2022,10 November 2022
